Lista de precios Comercializadora de valor agregado S.A. de C.V. (26/09/2013 15:30:00),,,,
Clave,Marca,Descripcion,Precio,Stock
AC-2405,TRENDNET,KIT ADAPTADOR TRENDNET POWELINE COMPACTO A 200MBPS,32.36,3
AC-2411,TRENDNET,ADAPTADOR TRENDENTE POWERLINE INALAMBRICO N AV A 200 MBPS,82.97,3
AC-2419,INTELLINET,"JACK INTELLINET PARA TELEFONIA DE IMPACTO, RJ11/ 12 , BLANCO",1.44,3
AC-2422,SONY,LAMPARA SONY P/VIDEOPROYECTOR VPL-EX130,1079.55,0
AC-2425,MANHATTAN,"CAPTURADOR DE AUDIO Y VIDEO MANHATTAN USB 2.0 DE ALTA VELOCIDAD, BLANCO",49.74,3
AC-2442,TP LINK,MODULO MULTIMODO MINIGBIC TP-LINK,29.32,2
AC-2443,INGRESSIO,LECTOR BIOMETRICO USB INGRESSIO U.R.U. HD,113.68,1
AC-2444,BENQ,MALETIN BENQ PARA VIDEOPROYECTOR SERIES M,17.05,0
AC-2447,EATON,DISPOSITIVO DE MONITOREO DEL MEDIO AMBIENTE,104.55,1
AC-2455,MANHATTAN,"PORTA DD MANHATTAN 3.5 SATA / USB 3.0, NEGRO",40.08,3
AC-2462,D-LINK,TRANSCEIVER D-LINK SPF (MINI GBIC) UNIVERSAL PARA CUALQUIER SWITCH ,80.11,3
AC-2472,VAMAV,CARGADOR UNIVERSAL PARA NOTEBOBOOK,136.36,1
AC-2478,VAMAV,FUNDA PARA IPAD 2 COLOR ROJO,163.64,1
AC-2493,D-LINK,KVM SWITCH D-LINK DE 16 PUERTOS COMBO,428.41,1
AC-2494,VAMAV,FUNDA PARA IPAD 2 CAFE,119.61,1
AC-2497,SPACE,FUNDA PARA TABLET EN CABECERA DE ASIENTO DE AUTOMOVIL,217.93,1
AC-2498,VAMAV,"CARGADOR  3 EN 1 PARA IPOD,IPHONE,V8,CASA Y AUTO",74.76,1
AC-2514,VAMAV,FUNDA RIGIDA PARA LAPTOP 14 PULGADAS,139.77,1
AC-2518,APC,POE INYECTOR APC ACCESORIO DE NETBOTZ Y CABLE,99.22,2
AC-2528,TARGUS,PRESENTADOR LASER INALAMBRICO TARGUS BLUETOOTH COMPATIBLE MAC (AMP11US-01),34.09,1
AC-2529,TARGUS,CABLE DE SEGURIDAD  PARA IPOD TARGUS MOBILE SECURITY LOCK,9.09,1
AC-2531,TARGUS,BASE ENFRIADORA PARA NOTEBOOK TARGUS STANDW/CHILL (AWE15US),28.41,1
AC-2548,VAMAV,FUNDA PARA IPAD VAMAV CON TECLADO BLUETOOH,647.73,1
AC-2550,TARGUS,"ESTUCHE P/CAMARAS GRANDE CONTRAST STITCH VIDEO B, (DKSBP1).",5.11,1
AC-2551,TARGUS,ESTUCHE P/CAMARA TARGUS (DKSC02),5.11,1
AC-2552,TARGUS,ESTUCHE P/CAMARA TARGUS CONTRAST STITCHVIDEOC (DKSV01-02),5.11,1
AC-2567,TARGUS,BASE DESK MESA Y PEDESTAL PORTATIL IMPORTADO TARGUS (PA243U),6.82,1
AC-2569,LENOVO,THINKPAD MOBILE BROADBAND GLOBAL WIRELESS WAN - ERICSSON F5521GW,107.95,1
AC-2570,TARGUS,CABLE DE SEGURIDAD DEFCON 1 ULTRA TARGUS (PA400U),22.73,1
AC-2575,TARGUS,"ESTUCHE UNIVERSAL PARA PDA Y DD ETX 2.5"" TARGUS KOSKIN IMPORTADO (PDAT01)",5.11,1
